Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Aceituna,Achiote,Anona,Cacao,Café pergamino,Caimito,Camu camu,Capuli,Carambola,Cerezo,Chirimoya,Cirolero,Ciruela,Coco,Cocona,Damasco,Dátil,Granada,Guanabana,Guayaba,Guinda,Higo,Lima,Limón dulce ,Limón sutíl,Lucuma,Mamey,Mandarina,Mango,Manzana,Marañón,Melocotón,Membrillo,Naranja,Nispero,Pacae ,Palma aceitera,Palta,Pecana,Pera,Pijuayo,Pomarrosa,Sacha inchi,Sauco,Tamarindo,Tangelo,Taperibá,Té,Toronja,Uva,Zapote,Alcachofa,Algodón rama,Arandanos,Caña para alcohol,Caña para azúcar,Caña para etanol,Espárrago,Frijol de palo,Granadilla,Maracuyá ,Orégano,Papaya,Piña,Plátano,Rocoto,Tuna,Alfalfa,Avena forrajera,Braquearia,Cebada forrajera,Grama azul,Grama chilena,Gramalote,Maíz chala,Pasto elefante,Rye grass,Trebol,,,,,,Año
Amazonas,5011.333333333333,6809.620253164558,5800.0,0.0,0.0,9277.501950585174,8991.217367129382,923.4328358208955,2439.4952132288945,0.0,7872.173913043476,0.0,4522.469135802468,7128.888888888889,7423.214285714286,0.0,1076.896551724138,7000.0,0.0,7999.476394849786,4433.826086956522,7674.4000000000015,0.0,0.0,774.6880792996909,2818.942133815551,0.0,0.0,877.4056603773585,2524.478134110788,0.0,5103.320848938826,0.0,0.0,2505.692031476813,775.5350506215557,6580.662683324281,0.0,3545.7673267326736,6157.6923076923085,0.0,0.0,5911.287128712872,6456.376811594202,0.0,0.0,19081.34872483221,0.0,0.0,0.0,0.0,0.0,8037.308146399054,0.0,0.0,5661.461538461539,10455.555555555555,0.0,2415.0627615062767,696.7326732673268,8299.35732647815,942.7272727272726,0.0,16094.948585286986,13773.1895280236,13633.669064748203,0.0,0.0,688.7692307692307,0.0,648.7464752953131,790.0946795758413,1978.2608695652173,0.0,0.0,18390.55793991416,0.0,7207.346938775511,0.0,4015.5593220338988,13822.975517890773,4203.164556962025,0.0,0.0,0.0,0.0,3250.0,0.0,0.0,10677.115987460815,12053.428571428572,9401.295999999998,0.0,0.0,0.0,12487.19298245614,4500.0,0.0,5486.95652173913,0.0,11342.30490018149,0.0,5201.077752117012,0.0,9724.65277777778,0.0,0.0,6000.0,0.0,1265.8823529411764,0.0,7290.0,0.0,0.0,0.0,0.0,0.0,8466.666666666666,0.0,0.0,0.0,64993.99826589597,0.0,0.0,0.0,0.0,4939.249999999999,0.0,0.0,17014.51374088614,17193.32732191163,11953.500302592991,5503.737780333524,0.0,84340.23300970874,0.0,88074.89038719345,0.0,48556.573291342065,110044.82629809488,80062.73570783329,0.0,89593.47295020593,24361.791921089716,54381.043141220085,,,,,,2019
Áncash,8553.191489361701,5057.142857142857,5500.0,0.0,7956.521739130435,0.0,11955.797101449276,1004.8309178743962,3569.7368421052633,0.0,10830.2752293578,0.0,5382.352941176471,0.0,20316.225165562915,0.0,1004.5216133116295,20739.130434782608,0.0,8851.239669421488,7944.444444444444,8428.57142857143,0.0,0.0,1259.0,3597.0149253731342,0.0,0.0,1001.9518542615484,3645.098039215686,1428.2722513089006,13699.481865284975,0.0,0.0,11229.504428747618,1200.690415606446,12549.731800766283,4914.6110056926,0.0,0.0,0.0,9960.0,4085.9999999999995,4670.07627118644,0.0,0.0,11230.18993668777,5230.7692307692305,10269.23076923077,0.0,0.0,0.0,0.0,10336.363636363638,1059.9056603773583,9440.0,42765.95744680851,0.0,0.0,1012.280701754386,21170.289855072464,1008.9903802930864,3645.1612903225805,20814.479638009052,20359.223300970876,40253.73134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4999999999998,0.0,0.0,5533.333333333333,0.0,5600.0,0.0,0.0,0.0,0.0,9791.666666666666,0.0,4975.609756097561,0.0,7000.0,10965.116279069769,14375.0,13928.57142857143,8600.0,0.0,0.0,4809.644670050761,6841.075429424945,0.0,8037.6106194690265,7842.105263157895,6157.894736842105,0.0,7411.764705882353,0.0,7005.710814094774,0.0,5888.88888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6466.666666666667,12077.10843373494,0.0,4491.071428571428,5761.341222879684,6850.485436893204,0.0,134839.2138306322,0.0,4923.645320197044,0.0,4000.0,5111.612175873732,0.0,9000.0,0.0,9816.993464052288,0.0,9234.146341463415,29374.676691729324,0.0,0.0,0.0,0.0,0.0,0.0,20528.30188679245,0.0,0.0,0.0,,,,,,2019
Apurímac,0.0,3590.909090909091,6126.760563380282,4280.0,0.0,0.0,0.0,2102.498121712998,3794.1078531125704,2530.9594095940956,5735.151515151514,5473.684210526316,6666.666666666667,8198.300653594773,12685.496183206107,0.0,2518.525046382189,7028.190163934426,0.0,5649.590163934426,6764.444444444444,0.0,10312.5,0.0,2041.8570337850733,884.5986984815618,0.0,0.0,2187.0177785923756,4408.017473118281,1921.399317406143,2683.7236533957844,2478.0,4000.0,2357.2043542800593,2223.543016093781,8528.901707429628,11783.783783783785,0.0,8249.941792782303,0.0,0.0,8209.957912457912,9004.866618601298,4020.0000000000005,0.0,17611.063051970108,0.0,11038.461538461539,0.0,0.0,0.0,0.0,0.0,2225.974409448819,2256.0,0.0,0.0,0.0,2282.5580293699672,18938.37104072398,2295.4614045269877,5000.0,14791.489361702126,10010.232258064516,21601.19760479042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3394.799054373523,0.0,0.0,4648.9795918367345,2946.310559006211,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,4621.70542635659,0.0,0.0,4832.571428571428,4994.791666666667,0.0,0.0,5834.117647058824,4303.112161629805,0.0,3491.7038777908347,5816.7832167832175,4382.139944544121,4546.177011878869,3513.874822766863,0.0,6658.756125141349,0.0,5434.636401849518,0.0,0.0,0.0,3896.1147421931737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24195.14450867052,0.0,0.0,0.0,0.0,3746.3157894736846,0.0,1995.1651893634164,7236.723446893788,0.0,4500.476947535771,3457.142857142857,4027.84832965078,50255.26639870177,16371.146095717886,0.0,14075.139146567717,0.0,0.0,0.0,0.0,63500.0,55675.874921036,58482.40962657254,,,,,,2019
Arequipa,17213.4358974359,5012.7973231357555,14467.849196223528,66419.68750000001,22344.67041198502,0.0,13842.954782349727,1440.0,10175.51446718419,0.0,19197.36666666667,17129.713414634145,10560.0,53571.818181818184,10272.57627118644,750.0,3275.474885844749,43315.869769574696,32019.11764705883,17907.92233009709,17559.900826446283,60913.61111111111,2552.790697674419,0.0,1820.209279368213,0.0,0.0,0.0,2437.0492957746483,8463.367748279255,3474.3835616438355,17083.57868020304,0.0,0.0,7581.976744186046,3153.356682423722,18853.034136546186,5089.726457399102,0.0,0.0,30524.44444444444,16437.458646616546,3621.9545454545455,3735.0,1844.4444444444446,0.0,35262.1090225564,6782.173020008269,14538.854838709678,0.0,0.0,0.0,0.0,23347.276315789473,3994.6964117091593,15785.858974358975,57937.815126050424,3667.7599999999998,0.0,0.0,46097.224965706446,6307.831004657352,12484.963597430407,14770.25806451613,44996.85569755058,34950.29773226043,0.0,8781.167464114831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4018.3333333333335,7984.75,0.0,0.0,0.0,8245.000000000002,0.0,38144.939024390245,0.0,15686.153846153844,0.0,7129.282608695652,0.0,0.0,3767.692307692308,7172.903225806451,0.0,59166.666666666664,12813.166666666668,7092.760563380283,0.0,6662.36440677966,6436.449999999999,7445.909090909091,4309.0,3543.4074074074065,0.0,21752.417224880384,3000.0,4122.753846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22090.210978835978,0.0,20150.690909090903,4307.923250564334,879.9999999999999,103162.12121212122,106784.51600112345,0.0,0.0,0.0,0.0,0.0,4270.364842454395,7512.499999999999,0.0,7455.0,0.0,2659.4048484848486,69345.78150314414,16371.52,0.0,15704.190156599554,0.0,0.0,0.0,56262.772807418536,0.0,65497.77777777778,0.0,,,,,,2019
Ayacucho,0.0,3115.3846153846152,4713.114754098361,0.0,14296.875,0.0,2843.75,1336.2485615650173,2918.2072829131653,1357.142857142857,6473.684210526316,0.0,4260.869565217392,7927.272727272728,15755.555555555557,0.0,1303.953488372093,9497.382198952879,0.0,8946.564885496184,8750.0,0.0,0.0,0.0,1429.8615291992776,0.0,0.0,1217.3913043478262,1316.6590178981182,3568.488289567069,1095.808383233533,7884.057971014493,1520.0,5714.285714285715,2570.78853046595,1335.3180630657998,5225.67703109328,4697.5857687420585,1067.1641791044776,5238.008500303582,0.0,5900.0,5033.642691415313,5440.944881889764,1770.4918032786884,0.0,16835.981735159818,0.0,8000.0,0.0,0.0,0.0,0.0,7000.0,1369.076444136977,5600.0,0.0,0.0,0.0,1291.2621359223301,13883.92857142857,1341.8685853348852,5152.173913043479,10857.142857142857,9546.875,10773.584905660377,0.0,0.0,1857.142857142857,0.0,730.0389483933787,419.08997605200136,0.0,0.0,0.0,0.0,0.0,6864.197530864198,7000.0,0.0,6285.714285714285,0.0,0.0,0.0,0.0,0.0,6000.0,6696.774193548386,6971.428571428572,4620.689655172414,0.0,6639.639639639639,6628.571428571429,0.0,7709.090909090909,6312.5,6435.114503816794,0.0,7154.381084840055,6200.0,6197.647058823529,5096.153846153846,5953.020134228188,0.0,7077.839217354318,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,10351.351351351352,0.0,0.0,0.0,6454.545454545454,0.0,0.0,0.0,0.0,8541.666666666666,0.0,0.0,0.0,941.1764705882352,5648.148148148148,4800.0,4363.636363636363,7977.272727272728,9166.666666666666,5324.04181184669,0.0,7133.123689727463,22842.604485722757,17560.169267389578,0.0,14642.105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2019
Cajamarca,0.0,0.0,6003.879115922417,0.0,0.0,5889.542702116116,7969.209815202231,896.5711081920995,1717.2191359580586,0.0,5918.032786885246,0.0,2004.7317620650956,0.0,5561.418550272799,0.0,894.9672924508452,9511.42857142857,0.0,3343.310055865922,4000.0,0.0,0.0,900.0,850.8915929203541,2249.954779494067,0.0,0.0,906.7733273158071,2505.860612460401,0.0,2728.7448559670784,693.7568389057751,0.0,3828.0878980212274,817.7891604507222,2644.13525145923,3832.5646630236793,0.0,0.0,0.0,0.0,4749.715729627289,5313.566569484937,0.0,0.0,12713.458495127847,0.0,0.0,0.0,0.0,0.0,4459.29543859649,0.0,1223.187066974596,2866.6666666666665,0.0,0.0,0.0,703.2385466034755,6826.7380952380945,1001.2307279487867,0.0,8301.56673816202,9225.896853713914,16449.05638903259,759.3565891472869,0.0,2864.864864864865,0.0,842.9296728093267,1106.0845504406238,0.0,0.0,0.0,0.0,0.0,4521.814719505918,0.0,0.0,10340.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5995.269801199118,4138.576470588236,4928.725449226912,0.0,8500.0,0.0,9695.07726075505,10552.631578947368,0.0,0.0,0.0,4715.986539358188,1823.5294117647059,5231.381893860563,0.0,6031.588187038556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9431.506849315068,0.0,0.0,0.0,0.0,19725.537344398344,0.0,0.0,0.0,0.0,6430.154929577466,5416.666666666667,0.0,9855.740785023743,10397.852125693162,6908.131671063749,0.0,4205.504587155963,48409.55612535613,20661.590524534688,0.0,0.0,0.0,20343.31657834126,18827.003612644254,8030.534351145037,24406.8809398232,51490.40855317968,35518.10126582279,,,,,,2019
Callao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2019
Cusco,0.0,0.0,0.0,0.0,0.0,0.0,1794.7716229348882,1510.4434907010013,4637.209302325582,2006.8094321462947,0.0,0.0,0.0,0.0,6642.321428571429,541.0071942446043,1910.863278143301,13445.093457943925,0.0,16096.774193548388,12870.967741935485,0.0,0.0,0.0,1505.9945652173915,0.0,0.0,0.0,1910.2109446652403,7595.117845117845,2075.7281553398057,12924.36974789916,0.0,0.0,1589.3667748598405,2607.97505141733,16829.882352941175,0.0,0.0,8608.050847457625,0.0,0.0,8926.359516616314,8233.81601362862,0.0,0.0,13957.312759945391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.3327017809777,0.0,0.0,0.0,1500.0,1340.8120770432065,16827.77777777778,1883.171413797755,0.0,8664.572474652134,13891.585760517799,19500.0,0.0,0.0,315.0466321243523,0.0,541.0992195601157,521.342033423101,0.0,0.0,4125.0,0.0,0.0,7375.670454545456,4928.571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9921.28205128205,0.0,6501.392670157069,0.0,0.0,4162.808612440192,3491.977011494253,5796.116504854369,0.0,7599.609375,0.0,8298.099685675796,0.0,0.0,0.0,8063.423412204235,0.0,4647.887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.23387096774195,0.0,0.0,0.0,11514.925373134329,0.0,0.0,0.0,0.0,0.0,0.0,1491.9614147909967,6517.922077922077,0.0,0.0,8139.954230235782,9000.657128257539,7760.78927536232,3968.543046357616,8081.395348837209,76695.82059047584,19082.495590828923,0.0,19756.7084078712,0.0,0.0,0.0,0.0,0.0,23870.463917525773,0.0,,,,,,2019
Huancavelica,0.0,0.0,5385.3,0.0,0.0,0.0,0.0,1628.1203007518802,3802.0536347517727,1594.5994599459948,0.0,0.0,0.0,0.0,6050.0,0.0,1579.3195694593064,5688.888888888889,0.0,0.0,0.0,0.0,0.0,0.0,1603.4902026461227,0.0,0.0,0.0,1603.66444579043,3808.8599074463605,1415.1515151515152,0.0,1775.0,5779.164733178654,1573.4908136482939,1661.3885401149182,10379.773785761812,0.0,0.0,6070.2380952380945,0.0,0.0,5599.6814159292035,5567.166085946574,1150.0,0.0,11478.648148148151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.3380208333335,0.0,0.0,0.0,0.0,1579.6584440227703,10836.363636363636,1575.9081321771737,0.0,0.0,8569.52027027027,11109.219858156028,0.0,0.0,0.0,0.0,0.0,1192.9,0.0,0.0,3850.2558139534895,0.0,0.0,8037.242857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6140.000000000001,5008.363636363637,0.0,6596.0,5013.970588235294,7646.900000000001,0.0,0.0,8703.999999999998,5752.069767441861,0.0,5778.578947368422,5777.444444444446,7197.745454545455,3639.7499999999995,4820.96,0.0,7709.405405405406,0.0,7342.444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7858.916666666667,0.0,0.0,6250.833333333333,0.0,0.0,12750.638655462184,0.0,0.0,0.0,0.0,6680.799999999999,0.0,0.0,15489.156249999996,0.0,5142.188118811881,0.0,5394.646749835851,27947.94757152362,12440.917266187053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2019
Huánuco,0.0,4625.994694960213,5090.909090909091,0.0,11342.465753424656,0.0,6095.231761654586,1109.6394407652685,6208.24896088671,1591.252485089463,12529.411764705883,14323.809523809525,10102.564102564102,14109.04255319149,14310.180780209324,0.0,1451.7791015939463,12950.0,9219.51219512195,15659.340659340658,15555.555555555555,0.0,6900.0,0.0,1292.034129203413,4987.44769874477,0.0,0.0,1083.2171845535788,9259.651778955338,0.0,10523.809523809523,0.0,8200.0,3774.368405769044,1177.0081951735337,8238.573743922205,6911.01321585903,2101.8518518518517,6339.449541284404,0.0,0.0,7257.2087658592845,11383.86524822695,0.0,0.0,16553.502125300314,0.0,0.0,0.0,0.0,0.0,0.0,11707.317073170732,908.7921117502054,0.0,0.0,0.0,0.0,1212.5030288345044,17776.0,1370.430320984638,7200.0,12680.142133162462,21641.89189189189,26931.0009718173,0.0,0.0,1555.5555555555557,5692.307692307692,606.6215574011632,563.7528912875867,5789.473684210527,0.0,0.0,10678.57142857143,0.0,8259.74025974026,0.0,0.0,10093.75,4517.543859649122,0.0,0.0,0.0,5000.0,4250.0,0.0,0.0,7666.666666666667,0.0,7450.586264656617,8549.310535024819,0.0,8068.627450980392,6456.203225466427,5757.575757575758,0.0,5053.658536585366,0.0,12700.221238938053,2028.5714285714284,5447.447447447447,9469.908093685148,8747.225647348952,0.0,0.0,8893.203883495145,8000.0,725.4901960784314,0.0,0.0,0.0,9157.894736842105,3825.714285714286,11300.0,0.0,11842.105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.869281045751,6350.000000000001,0.0,11317.068524970968,13166.193181818182,11657.420125027278,7849.293563579277,2661.0169491525426,22721.78355782629,17089.581304771178,26798.06181553831,0.0,0.0,0.0,0.0,21544.267053701016,0.0,17298.10298102981,16229.598893499307,,,,,,2019
Ica,0.0,20226.04233483002,9950.0,5869.393939393939,6130.526315789474,0.0,0.0,0.0,4199.333333333335,0.0,5729.791666666667,0.0,0.0,0.0,25235.586573612498,0.0,2800.0,59781.043274069096,6123.833333333334,0.0,0.0,5329.266666666667,0.0,2079.2520186995325,1401.5979381443296,4386.363636363637,0.0,1316.3768844221106,0.0,4220.526315789473,0.0,5318.285714285714,0.0,0.0,9965.362412057897,5060.44776119403,14682.420242024202,4374.677419354839,6060.000000000001,0.0,25679.52639368525,5326.800000000001,2150.0,3450.0,1117.9521078812115,4974.64,37239.821596764355,7087.209944751381,21020.0,15661.951219512195,18666.666666666668,0.0,0.0,0.0,1147.2527472527474,6344.999999999999,37303.40790454884,0.0,0.0,0.0,97905.52946389014,2616.25,3909.032258064516,24523.409363745497,8254.545454545454,34741.52330694811,0.0,4914.730447987851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5104.0625,0.0,8978.243694925553,0.0,0.0,0.0,2602.4822695035464,25479.098753595394,9213.333333333332,5800.0,0.0,3617.6254589963282,7000.0,0.0,25059.830912638197,11615.652173913042,0.0,49677.21215264427,11070.125957974631,8447.205904503691,0.0,5881.25,7816.666666666666,29840.110080139126,0.0,6898.11320754717,0.0,14409.971742161462,2678.475288539542,9061.176470588236,0.0,0.0,0.0,0.0,0.0,39822.28730290105,0.0,0.0,30814.814814814814,18106.83389081265,0.0,19656.647987773817,2881.541359270212,9251.028559416198,0.0,0.0,0.0,12364.363729670784,0.0,5625.0,4478.571428571428,0.0,10035.98615916955,0.0,19819.60784313725,0.0,2268.1159420289855,23791.6212099585,0.0,0.0,0.0,0.0,0.0,0.0,54851.64835164835,0.0,0.0,0.0,,,,,,2019
