Región,Acelga,Ají,Ajo ,Albahaca,Apio,Arracacha,Arroz cáscara,Arveja grano seco,Arveja grano verde,Avena grano,Betarraga,Brócoli,Caigua,Calabaza,Camote,Cañihua,Cebada grano,Cebolla cabeza,Cebolla    china,Col ,Coliflor,Espinaca,Fresa,Frijol castilla,Frijol seco,Frijol verde,Frijol loctao,Garbanzo,Haba seca,Haba verde,Kiwicha,Lechuga,Lenteja,Maca,Maíz a. duro,Maíz amiláceo,Maíz choclo,Maíz morado,Maní,Mashua,Melón,Nabo,Oca,Olluco,Pallar seco,Pallar verde,Papa,Páprika,Pepinillo ,Pepino,Pimiento,Piquillo,Pituca,Poro,Quinua,Rabanito,Sandía,Sorgo grano,Soya,Tarhui,Tomate,Trigo,Vainita,Yuca,Zanahoria,Zapallo,Zarandaja,Algodón rama,Frijol de palo,Rocoto,Avena forrajera,Cebada forrajera,Maíz chala,,,,,,,,Año
Amazonas,6.5,43.5,4.0,0,0.0,1029.5,44298.2,151.0,800.0,0,121.0,0.0,138.0,12.0,33.5,0,44.0,2.0,0.0,342.0,23.5,28.0,0.0,0.0,7177.0,750,0,0,108.0,153.0,0,169.5,0,0,11944.0,9282.0,1518.0,0.0,593.5,18.5,0.0,0.0,19.0,179.5,0,0.0,4199.63,0,0.0,0.0,0.0,0,367.8,0.0,0.0,30.0,59.0,0,203.0,48.25,207.0,171.0,0.0,11277.3,355.0,122.0,0,0.0,0,25.0,0,0,0.0,,,,,,,,2022
Áncash,79.0,317.0,72.0,0,105.0,0.0,5613.0,495.0,981.0,0,146.0,0.0,34.0,0.0,1883.0,0,5211.0,182.0,0.0,155.0,70.0,163.0,41.0,0.0,775.0,67,825,0,745.0,100.0,95,507.0,0,0,10762.0,6522.0,4465.0,305.0,0.0,0.0,0.0,45.0,316.0,896.0,34,0.0,10067.0,440,80.0,0.0,0.0,0,0.0,115.0,29.0,35.0,10.0,0,0.0,406.0,230.0,9899.0,41.0,227.0,218.0,312.0,0,777.0,0,0.0,0,0,789.0,,,,,,,,2022
Apurímac,0.0,15.0,83.4,24,6.0,0.0,0.0,1275.5,1149.0,629,20.0,26.0,0.0,306.5,153.5,0,4162.0,187.20000000000002,0.0,48.0,45.0,0.0,56.5,0.0,3494.0,529,0,0,5013.0,1174.0,2122,99.05,19,0,1766.0,23476.0,4541.5,22.0,0.0,878.0,0.0,0.0,1354.0,2905.5,5,0.0,22887.5,0,19.0,0.0,0.0,0,0.0,0.0,5280.5,1.0,0.0,0,0.0,983.5,101.0,4218.0,73.0,108.0,268.0,251.0,0,0.0,0,4.7,634,789,0.0,,,,,,,,2022
Arequipa,106.0,323.0,5351.0,4,392.0,0.0,20759.0,3.0,1699.0,0,233.0,168.0,0.0,27.0,87.0,2,234.0,7375.0,25.0,223.0,168.0,30.0,44.0,0.0,3454.0,0,0,0,366.0,1246.0,65,233.0,0,0,235.0,2473.0,2079.0,282.0,0.0,0.0,28.0,131.0,16.0,28.0,35,0.0,8618.0,1323,67.0,0.0,0.0,0,0.0,165.0,1494.0,91.0,68.0,19,0.0,0.0,899.0,2897.0,513.0,31.0,1922.0,1393.0,0,2.0,0,0.0,547,734,15498.6,,,,,,,,2022
Ayacucho,0.0,22.0,547.0,0,55.0,0.0,4.0,4640.0,1879.0,528,40.0,0.0,19.0,145.0,26.0,0,13326.0,195.0,0.0,95.0,39.0,0.0,0.0,0.0,1545.0,0,104,24,7318.0,1751.0,47,65.0,2,0,786.0,20258.0,1949.0,874.0,0.0,1787.0,0.0,9.0,2099.0,3120.0,43,0.0,33381.0,0,8.0,0.0,0.0,0,0.0,16.0,15800.0,1.0,0.0,0,0.0,59.0,93.0,9013.0,27.0,499.0,166.0,77.0,0,0.0,8,0.0,8516,4,0.0,,,,,,,,2022
Cajamarca,0.0,26.0,1147.5,0,0.0,1593.5,23231.0,15017.0,13511.5,0,45.0,0.0,84.94999999999999,0.0,887.8,0,8261.5,192.0,0.0,22.0,0.0,0.0,0.0,0.0,16062.0,3618,0,0,3768.5,1523.0,0,3.95,1062,0,17831.0,36745.0,9475.0,720.0,0.0,0.0,0.0,0.0,979.0,2787.0,0,0.0,30047.4,8,0.0,23.0,0.0,0,303.5,0.0,608.0,18.0,0.0,0,0.0,497.0,192.5,24174.0,0.0,6784.5,575.0,655.3,351,0.0,0,0.0,983,0,340.0,,,,,,,,2022
Callao,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,,,,,,,,2022
Cusco,0.0,0.0,0.0,0,0.0,0.0,1045.0,2058.0,554.0,4407,0.0,0.0,0.0,0.0,102.0,456,15014.0,576.0,0.0,121.0,113.0,0.0,18.0,0.0,1710.0,0,200,0,9521.0,855.0,418,100.0,0,0,4225.0,28181.0,1521.0,0.0,0.0,1411.0,0.0,0.0,1817.0,3639.0,0,0.0,34216.0,0,0.0,0.0,0.0,0,0.0,0.0,3827.0,0.0,0.0,0,10.0,2490.0,42.0,8865.0,0.0,3619.0,735.0,247.0,0,0.0,8,15.0,15541,1470,0.0,,,,,,,,2022
Huancavelica,0.0,0.0,157.0,0,0.0,0.0,0.0,3188.0,5569.0,614,0.0,0.0,0.0,0.0,15.0,0,11395.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,6051.0,0,0,0,6458.0,1495.0,3,0.0,10,293,417.0,17999.0,973.0,54.0,0.0,475.0,0.0,0.0,479.0,2511.0,6,0.0,23499.0,0,0.0,0.0,0.0,0,0.0,0.0,1589.0,0.0,0.0,0,0.0,190.0,31.0,4293.0,0.0,0.0,176.0,446.0,0,0.0,0,0.0,1063,22,0.0,,,,,,,,2022
Huánuco,0.0,135.5,40.5,0,16.75,0.0,8962.5,1199.0,2229.0,1010,34.75,24.5,30.25,397.5,268.5,0,6407.25,94.0,21.0,117.0,5.25,0.0,0.0,0.0,3708.5,120,0,0,3179.0,807.5,0,20.0,0,0,9384.25,13680.0,1148.25,294.25,24.25,354.25,0.0,0.0,801.5,2058.75,0,0.0,42764.5,0,0.0,0.0,0.0,0,0.0,30.5,777.25,0.0,0.0,0,0.0,1087.75,62.75,8194.5,28.25,4184.5,179.75,966.25,0,0.0,0,59.0,1261,0,383.5,,,,,,,,2022
Ica,7.0,274.0,0.0,53,0.0,0.0,0.0,0.0,93.0,0,44.0,0.0,0.0,0.0,1119.0,0,67.0,1388.5,24.0,0.0,0.0,31.5,0.0,315.0,305.0,12,0,44,0.0,0.0,0,60.4,0,0,17915.0,68.5,1087.0,84.0,0.5,0.0,137.5,41.95,0.0,4.0,2417,15.0,3280.0,568,11.0,16.0,14.0,0,0.0,0.0,9.0,5.0,516.0,0,0.0,0.0,934.0,29.0,0.0,434.0,6.0,948.0,0,3452.6,0,0.0,0,0,0.0,,,,,,,,2022
Junín,53.0,222.0,497.0,0,127.0,0.0,358.0,652.0,4537.0,380,92.0,227.0,57.0,39.0,0.0,0,9208.0,174.0,0.0,137.0,61.0,676.0,0.0,0.0,3919.0,0,15,0,1490.0,2992.0,0,433.0,0,1853,6488.0,6561.0,7410.0,10.0,317.0,515.0,0.0,49.0,602.0,2461.0,0,0.0,23301.0,0,0.0,0.0,0.0,0,0.0,41.0,2696.0,48.0,0.0,0,65.0,587.0,8.0,2850.0,0.0,8773.0,1015.0,210.0,0,0.0,0,82.0,5607,947,0.0,,,,,,,,2022
La Libertad,8.0,185.0,180.5,0,91.0,0.0,28720.0,9248.8,1528.5,0,34.0,280.5,1.5,0.0,348.5,0,27489.0,676.5,270.19999999999993,128.1,13.0,35.5,62.5,256.5,2445.5,0,1786,101,4871.5,337.0,47,99.5,1724,0,12907.0,14855.5,974.0,120.0,5.0,12.5,27.0,6.5,1254.0,1899.5,41,0.0,26948.0,67,275.0,64.5,673.0,221,0.0,70.5,987.0,35.5,443.0,0,0.0,4007.0,316.0,31174.5,25.0,1182.5,422.0,437.0,139,0.0,101,23.4,1189,90,3378.5,,,,,,,,2022
Lambayeque,0.0,4.0,0.0,0,0.0,0.0,47860.0,658.0,1482.0,0,7.0,0.0,13.0,0.0,2864.0,0,70.0,420.0,2.0,20.0,0.0,0.0,0.0,505.0,724.0,0,1321,250,100.0,0.0,0,3.0,0,0,10841.0,675.0,3026.0,0.0,0.0,0.0,80.0,0.0,20.0,275.0,2576,0.0,550.0,210,81.0,10.0,427.54,445,0.0,0.0,31.0,3.0,98.0,0,0.0,0.0,101.0,1390.0,0.0,904.0,34.0,53.0,2024,373.0,393,0.0,0,0,1723.0,,,,,,,,2022
Lima,0.0,941.0,1521.0,0,617.7,0.0,0.0,13.0,629.4,0,915.0,1200.0,83.0,0.0,5971.0,0,154.7,528.0,1120.0,213.5,654.5,143.0,2146.0,1200.0,1115.0,356,0,0,110.0,350.5,0,2578.0,0,0,14377.5,389.0,2972.0,1033.0,70.0,0.0,456.0,1.5,53.0,174.3,5,194.2,5986.5,1909,832.5,277.0,674.0,0,0.0,288.0,2.0,0.0,367.7,0,0.0,0.0,715.0,130.1,1627.0,970.5,2299.0,481.6,0,216.85,20,0.0,0,0,11383.7,,,,,,,,2022
Lima Metropolitana,147.0,273.0,19.0,333,436.0,0.0,0.0,0.0,40.0,0,556.0,783.0,13.0,0.0,216.0,0,6.0,166.0,359.0,147.0,36.0,320.0,77.0,0.0,55.0,0,0,0,0.0,3.0,0,920.0,0,0,28.0,4.0,61.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0,0.0,45.0,0,161.0,0.0,58.0,0,0.0,324.0,4.0,575.0,0.0,0,0.0,0.0,73.0,4.0,68.0,20.0,7.0,36.0,0,3.0,0,0.0,0,0,1082.0,,,,,,,,2022
Loreto,0.0,428.0,0.0,0,0.0,0.0,37719.0,0.0,0.0,0,0.0,0.0,485.0,0.0,0.0,0,0.0,0.0,267.0,66.0,0.0,0.0,0.0,6608.0,4847.0,0,0,0,0.0,0.0,0,68.0,0,0,37878.0,0.0,4150.0,0.0,1338.0,0.0,524.0,0.0,0.0,0.0,0,0.0,0.0,0,302.0,17.0,0.0,0,0.0,0.0,0.0,0.0,1352.0,0,0.0,0.0,442.0,0.0,0.0,51068.0,0.0,349.0,0,0.0,0,0.0,0,0,0.0,,,,,,,,2022
Madre de Dios,0.0,0.0,0.0,0,0.0,0.0,1982.0,0.0,0.0,0,0.0,0.0,0.0,0.0,57.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0,0,0,0.0,0.0,0,2.0,0,0,8422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,47.0,0,0.0,0.0,4.0,0.0,0.0,1750.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,,,,,,,,2022
Moquegua,0.0,0.0,38.0,0,0.0,6.0,0.0,0.0,44.0,0,0.0,0.0,0.0,0.0,1.0,0,134.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,0,111.0,59.0,0,11.0,0,0,74.0,665.0,46.0,34.0,0.0,12.0,0.0,0.0,27.0,10.0,0,0.0,590.0,0,0.0,0.0,0.0,0,0.0,0.0,34.0,0.0,38.0,0,0.0,0.0,11.0,60.0,90.0,0.0,13.0,88.0,0,0.0,0,0.0,29,0,114.0,,,,,,,,2022
Pasco,0.0,295.0,9.0,0,0.0,0.0,1231.0,129.0,762.0,0,0.0,0.0,375.0,183.0,0.0,0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,0,0,0,592.0,358.0,0,0.0,0,339,4187.0,1676.0,897.0,0.0,0.0,3.0,0.0,0.0,605.0,766.0,0,0.0,8478.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,191.0,0.0,5217.0,48.5,637.0,0,0.0,0,872.0,175,16,0.0,,,,,,,,2022
Piura,0.0,0.0,119.0,0,0.0,0.0,48060.0,5182.0,651.0,0,0.0,0.0,0.0,0.0,903.0,0,380.0,252.0,0.0,0.0,0.0,0.0,0.0,3020.0,6004.0,0,750,0,563.0,50.0,0,0.0,0,0,21167.0,14536.0,256.0,0.0,423.0,0.0,77.0,0.0,577.0,358.0,0,0.0,2034.0,757,0.0,0.0,357.0,874,0.0,0.0,0.0,0.0,578.0,0,182.0,0.0,127.0,11372.0,0.0,1184.0,111.0,43.0,0,790.0,172,0.0,0,0,0.0,,,,,,,,2022
Puno,0.0,0.0,22.0,0,0.0,39.0,48.0,1085.0,0.0,8590,0.0,0.0,0.0,36.0,261.0,5606,23679.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,0,34,0,9778.0,710.0,0,5.0,0,90,2449.0,3763.0,0.0,0.0,35.0,1101.0,0.0,0.0,3485.0,2900.0,0,0.0,63292.0,0,0.0,0.0,0.0,0,1485.0,0.0,37040.0,0.0,0.0,0,40.0,1101.0,0.0,1360.0,0.0,2055.0,16.0,92.0,0,0.0,0,0.0,79379,14927,0.0,,,,,,,,2022
San Martín,0.0,21.5,0.0,0,0.0,0.0,112791.0,0.0,0.0,0,0.0,0.0,5.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.5,3318.5,0,0,0,0.0,0.0,0,0.0,0,0,55384.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,26.0,0.0,198.65,0.0,0.0,6743.9,0.0,5.0,0,17.0,0,0.0,0,0,0.0,,,,,,,,2022
Tacna,4.0,1211.0,24.0,0,122.0,0.0,0.0,0.0,21.0,0,119.0,77.0,0.0,0.0,364.0,0,0.0,326.0,0.0,56.0,48.0,37.0,0.0,0.0,0.0,0,13,0,0.0,109.0,0,96.0,0,0,0.0,775.0,141.0,0.0,0.0,0.0,93.0,35.0,0.0,0.0,0,0.0,506.0,23,181.0,0.0,150.0,0,0.0,36.0,216.0,14.0,524.0,0,0.0,0.0,252.0,2.0,183.0,0.0,0.0,448.0,0,0.0,0,0.0,2,0,2309.0,,,,,,,,2022
Tumbes,0.0,0.8999999999999999,0.0,0,0.0,0.0,14591.8,0.0,0.0,0,0.0,0.0,0.0,0.0,1.4,0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,53.1,0.0,0,0,0,0.0,0.0,0,5.95,0,0,586.9,0.0,330.34999999999997,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,18.4,0,0.0,0.0,0.0,0.0,17.95,0,15.9,0.0,7.15,0.0,0.0,375.8,0.0,11.7,0,0.0,0,0.0,0,0,0.0,,,,,,,,2022
Ucayali,0.0,45.0,0.0,0,0.0,0.0,15038.0,0.0,0.0,0,0.0,0.0,0.0,0.0,61.5,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,504.0,573.0,0,0,0,0.0,0.0,0,10.0,0,0,8674.0,0.0,0.0,0.0,328.0,0.0,43.0,0.0,0.0,0.0,0,0.0,0.0,0,130.0,0.0,0.0,0,87.0,0.0,0.0,0.0,223.0,0,61.0,0.0,56.0,0.0,0.0,8646.0,0.0,21.0,0,368.0,299,0.0,0,0,0.0,,,,,,,,2022
