Región,meses,cosecha,year,produccion,rendimiento
Amazonas,Ene,1.6929811814284677,2022,,
Áncash,Ene,4.825879381506807,2022,,
Apurímac,Ene,3.4930873585068696,2022,,
Arequipa,Ene,4.9949841605068634,2022,,
Ayacucho,Ene,6.478975289683094,2022,,
Cajamarca,Ene,2.7482783027214497,2022,,
Callao,Ene,0.0,2022,,
Cusco,Ene,1.4162318840579708,2022,,
Huancavelica,Ene,4.2735186496695,2022,,
Huánuco,Ene,2.314827806122449,2022,,
Ica,Ene,5.999999999999999,2022,,
Junín,Ene,1.5412227476252254,2022,,
La Libertad,Ene,3.2924625352125654,2022,,
Lambayeque,Ene,3.3555555555555556,2022,,
Lima,Ene,4.134521733902484,2022,,
Lima Metropolitana,Ene,3.3285714285714283,2022,,
Loreto,Ene,0.476763925729443,2022,,
higore de Dios,Ene,0.0,2022,,
Moquegua,Ene,8.441309255079009,2022,,
Pasco,Ene,2.9439917559162345,2022,,
Piura,Ene,3.1391666666666667,2022,,
Puno,Ene,2.4300404203718675,2022,,
San Martín,Ene,1.1283916083916086,2022,,
Tacna,Ene,0.0,2022,,
Tumbes,Ene,0.0,2022,,
Ucayali,Ene,1.1025568651968447,2022,,
Amazonas,Feb,1.808966103356978,2022,,
Áncash,Feb,3.8243056397816857,2022,,
Apurímac,Feb,3.1493805833868023,2022,,
Arequipa,Feb,4.273856578204404,2022,,
Ayacucho,Feb,5.393446723361681,2022,,
Cajamarca,Feb,2.8626628207074543,2022,,
Callao,Feb,0.0,2022,,
Cusco,Feb,4.991896272285251,2022,,
Huancavelica,Feb,4.486028147240162,2022,,
Huánuco,Feb,2.3186855582109933,2022,,
Ica,Feb,6.018095572733661,2022,,
Junín,Feb,1.52741037735849,2022,,
La Libertad,Feb,3.2294269865790635,2022,,
Lambayeque,Feb,2.5,2022,,
Lima,Feb,3.315497157121066,2022,,
Lima Metropolitana,Feb,2.9908504176157935,2022,,
Loreto,Feb,0.4842368421052631,2022,,
higore de Dios,Feb,0.0,2022,,
Moquegua,Feb,7.240335051546392,2022,,
Pasco,Feb,1.0082102939147233,2022,,
Piura,Feb,1.8063595505617975,2022,,
Puno,Feb,2.487642455032267,2022,,
San Martín,Feb,0.8872151898734177,2022,,
Tacna,Feb,0.0,2022,,
Tumbes,Feb,0.0,2022,,
Ucayali,Feb,1.0673642694712904,2022,,
Amazonas,Mar,1.8812255240727942,2022,,
Áncash,Mar,3.9959818668864617,2022,,
Apurímac,Mar,3.314363735663572,2022,,
Arequipa,Mar,4.561187864438372,2022,,
Ayacucho,Mar,5.249482232395901,2022,,
Cajamarca,Mar,2.814110196141526,2022,,
Callao,Mar,0.0,2022,,
Cusco,Mar,4.988873435326843,2022,,
Huancavelica,Mar,4.5995537378323945,2022,,
Huánuco,Mar,2.727575322812052,2022,,
Ica,Mar,6.1218581200213915,2022,,
Junín,Mar,1.558011873804033,2022,,
La Libertad,Mar,4.3814980838491095,2022,,
Lambayeque,Mar,2.8252691980731086,2022,,
Lima,Mar,3.9427403344661665,2022,,
Lima Metropolitana,Mar,2.8127567567567566,2022,,
Loreto,Mar,0.4897089947089948,2022,,
higore de Dios,Mar,0.0,2022,,
Moquegua,Mar,6.422984203301321,2022,,
Pasco,Mar,1.05418511390677,2022,,
Piura,Mar,2.6421185185185188,2022,,
Puno,Mar,2.579710144927536,2022,,
San Martín,Mar,1.0872727272727272,2022,,
Tacna,Mar,0.0,2022,,
Tumbes,Mar,0.0,2022,,
Ucayali,Mar,1.1044009961348824,2022,,
Amazonas,Abr,1.805577603775609,2022,,
Áncash,Abr,3.995089733935744,2022,,
Apurímac,Abr,3.236542247915881,2022,,
Arequipa,Abr,3.8217676916685233,2022,,
Ayacucho,Abr,4.612044496648932,2022,,
Cajamarca,Abr,2.3704684317718945,2022,,
Callao,Abr,0.0,2022,,
Cusco,Abr,2.0229007633587788,2022,,
Huancavelica,Abr,4.16560376925656,2022,,
Huánuco,Abr,2.8392679738562094,2022,,
Ica,Abr,3.891602352911997,2022,,
Junín,Abr,1.4548337165099816,2022,,
La Libertad,Abr,3.9544702255708333,2022,,
Lambayeque,Abr,3.275972929838561,2022,,
Lima,Abr,3.411219490318748,2022,,
Lima Metropolitana,Abr,2.8957425018288228,2022,,
Loreto,Abr,0.49563909774436105,2022,,
higore de Dios,Abr,0.0,2022,,
Moquegua,Abr,6.021226131860214,2022,,
Pasco,Abr,1.9049446981440363,2022,,
Piura,Abr,2.827158273381295,2022,,
Puno,Abr,2.574067679558011,2022,,
San Martín,Abr,1.1275362318840578,2022,,
Tacna,Abr,7.0,2022,,
Tumbes,Abr,0.0,2022,,
Ucayali,Abr,1.1807989085459956,2022,,
Amazonas,May,1.953688372667737,2022,,
Áncash,May,3.889373819915188,2022,,
Apurímac,May,3.3512106811495816,2022,,
Arequipa,May,3.3997750150313233,2022,,
Ayacucho,May,3.2358130511463843,2022,,
Cajamarca,May,2.735056876938986,2022,,
Callao,May,0.0,2022,,
Cusco,May,1.510844892812106,2022,,
Huancavelica,May,3.945128891464693,2022,,
Huánuco,May,3.216282135794331,2022,,
Ica,May,2.8437693371902903,2022,,
Junín,May,1.5003471170352418,2022,,
La Libertad,May,3.0985638017507218,2022,,
Lambayeque,May,3.539249249249249,2022,,
Lima,May,2.482311170658181,2022,,
Lima Metropolitana,May,3.022302679217958,2022,,
Loreto,May,0.4816842105263156,2022,,
higore de Dios,May,0.0,2022,,
Moquegua,May,5.8478962733129265,2022,,
Pasco,May,2.452763470866967,2022,,
Piura,May,3.1546527777777778,2022,,
Puno,May,0.0,2022,,
San Martín,May,1.2973684210526315,2022,,
Tacna,May,5.615,2022,,
Tumbes,May,0.0,2022,,
Ucayali,May,1.2622688447612773,2022,,
Amazonas,Jun,2.399698753936738,2022,,
Áncash,Jun,3.692495415087419,2022,,
Apurímac,Jun,2.871884984025559,2022,,
Arequipa,Jun,3.9913317022020274,2022,,
Ayacucho,Jun,2.583888157894737,2022,,
Cajamarca,Jun,3.2117692605497496,2022,,
Callao,Jun,0.0,2022,,
Cusco,Jun,1.3777362020579984,2022,,
Huancavelica,Jun,2.454706804511018,2022,,
Huánuco,Jun,3.312030598052851,2022,,
Ica,Jun,3.042394005892266,2022,,
Junín,Jun,1.5257426245055774,2022,,
La Libertad,Jun,3.6924250639848744,2022,,
Lambayeque,Jun,2.7944391084026097,2022,,
Lima,Jun,2.8667086481947934,2022,,
Lima Metropolitana,Jun,2.997431506849315,2022,,
Loreto,Jun,0.4807216494845361,2022,,
higore de Dios,Jun,0.0,2022,,
Moquegua,Jun,4.897213613238993,2022,,
Pasco,Jun,1.6692318314254546,2022,,
Piura,Jun,1.823811074918567,2022,,
Puno,Jun,0.0,2022,,
San Martín,Jun,1.3892857142857142,2022,,
Tacna,Jun,5.0,2022,,
Tumbes,Jun,0.0,2022,,
Ucayali,Jun,1.2950764958993786,2022,,
Amazonas,Jul,2.3647283406754775,2022,,
Áncash,Jul,4.238566473988439,2022,,
Apurímac,Jul,3.0644350149300648,2022,,
Arequipa,Jul,2.040258449304175,2022,,
Ayacucho,Jul,2.697289029535865,2022,,
Cajamarca,Jul,3.405090909090909,2022,,
Callao,Jul,0.0,2022,,
Cusco,Jul,1.4239190432382707,2022,,
Huancavelica,Jul,2.8686895876667076,2022,,
Huánuco,Jul,3.2729411764705882,2022,,
Ica,Jul,3.1434219308904816,2022,,
Junín,Jul,1.576547865687744,2022,,
La Libertad,Jul,3.815793664867214,2022,,
Lambayeque,Jul,2.8042443064182194,2022,,
Lima,Jul,2.869795353435492,2022,,
Lima Metropolitana,Jul,3.5212014134275615,2022,,
Loreto,Jul,0.4649723756906078,2022,,
higore de Dios,Jul,0.0,2022,,
Moquegua,Jul,4.685040250447228,2022,,
Pasco,Jul,1.792784650082012,2022,,
Piura,Jul,1.8255603448275861,2022,,
Puno,Jul,0.0,2022,,
San Martín,Jul,3.7142857142857144,2022,,
Tacna,Jul,4.0,2022,,
Tumbes,Jul,0.0,2022,,
Ucayali,Jul,1.3444541484716157,2022,,
Amazonas,Ago,2.610393380751923,2022,,
Áncash,Ago,4.810128165051578,2022,,
Apurímac,Ago,2.918316531033645,2022,,
Arequipa,Ago,3.7989909056932847,2022,,
Ayacucho,Ago,2.3376942355889723,2022,,
Cajamarca,Ago,3.073260073260074,2022,,
Callao,Ago,0.0,2022,,
Cusco,Ago,1.778034682080925,2022,,
Huancavelica,Ago,3.102897959183673,2022,,
Huánuco,Ago,2.679037267080745,2022,,
Ica,Ago,3.6281134408144675,2022,,
Junín,Ago,1.5574958205900935,2022,,
La Libertad,Ago,3.652181811619485,2022,,
Lambayeque,Ago,2.8,2022,,
Lima,Ago,2.80083459001485,2022,,
Lima Metropolitana,Ago,3.6791927899686523,2022,,
Loreto,Ago,0.46979899497487443,2022,,
higore de Dios,Ago,0.0,2022,,
Moquegua,Ago,4.705963725791577,2022,,
Pasco,Ago,2.14620310404292,2022,,
Piura,Ago,1.5604672897196263,2022,,
Puno,Ago,0.0,2022,,
San Martín,Ago,3.727272727272727,2022,,
Tacna,Ago,0.0,2022,,
Tumbes,Ago,0.0,2022,,
Ucayali,Ago,0.0,2022,,
Amazonas,Set,2.599895506792059,2022,,
Áncash,Set,4.962527424308907,2022,,
Apurímac,Set,2.8550516647531587,2022,,
Arequipa,Set,3.9980630879911456,2022,,
Ayacucho,Set,2.7253184713375798,2022,,
Cajamarca,Set,2.85769318440848,2022,,
Callao,Set,0.0,2022,,
Cusco,Set,2.0,2022,,
Huancavelica,Set,2.3793436293436296,2022,,
Huánuco,Set,2.5339993944898582,2022,,
Ica,Set,4.058974582172702,2022,,
Junín,Set,1.4353871773522067,2022,,
La Libertad,Set,3.9115363156025147,2022,,
Lambayeque,Set,2.8,2022,,
Lima,Set,2.830343070544672,2022,,
Lima Metropolitana,Set,5.0,2022,,
Loreto,Set,0.472198275862069,2022,,
higore de Dios,Set,0.0,2022,,
Moquegua,Set,5.465866155255324,2022,,
Pasco,Set,2.936231970481905,2022,,
Piura,Set,0.8772847682119205,2022,,
Puno,Set,0.0,2022,,
San Martín,Set,3.214545454545455,2022,,
Tacna,Set,0.0,2022,,
Tumbes,Set,0.0,2022,,
Ucayali,Set,0.0,2022,,
Amazonas,Oct,2.5836836480227996,2022,,
Áncash,Oct,5.275210084033613,2022,,
Apurímac,Oct,4.333333333333333,2022,,
Arequipa,Oct,3.5,2022,,
Ayacucho,Oct,4.023596899224807,2022,,
Cajamarca,Oct,2.9530313236780064,2022,,
Callao,Oct,0.0,2022,,
Cusco,Oct,2.0,2022,,
Huancavelica,Oct,3.5,2022,,
Huánuco,Oct,2.5681356515751426,2022,,
Ica,Oct,0.0,2022,,
Junín,Oct,1.4946758820386425,2022,,
La Libertad,Oct,4.008409241605185,2022,,
Lambayeque,Oct,2.8,2022,,
Lima,Oct,3.6943703075503227,2022,,
Lima Metropolitana,Oct,6.5,2022,,
Loreto,Oct,0.46978540772532185,2022,,
higore de Dios,Oct,4.642917015926237,2022,,
Moquegua,Oct,7.200000000000001,2022,,
Pasco,Oct,2.613881049716471,2022,,
Piura,Oct,0.899607843137255,2022,,
Puno,Oct,0.0,2022,,
San Martín,Oct,1.3676923076923075,2022,,
Tacna,Oct,0.0,2022,,
Tumbes,Oct,0.0,2022,,
Ucayali,Oct,1.2618961603631829,2022,,
Amazonas,Nov,2.5576600275585624,2022,,
Áncash,Nov,5.478622327790974,2022,,
Apurímac,Nov,0.0,2022,,
Arequipa,Nov,3.5,2022,,
Ayacucho,Nov,4.493023983315952,2022,,
Cajamarca,Nov,3.2753205510852172,2022,,
Callao,Nov,0.0,2022,,
Cusco,Nov,1.3781065088757396,2022,,
Huancavelica,Nov,3.558823529411765,2022,,
Huánuco,Nov,2.5594413549039428,2022,,
Ica,Nov,0.0,2022,,
Junín,Nov,1.4949049879882959,2022,,
La Libertad,Nov,3.803162488722356,2022,,
Lambayeque,Nov,1.5,2022,,
Lima,Nov,3.533526134478799,2022,,
Lima Metropolitana,Nov,4.5,2022,,
Loreto,Nov,0.47078774617067837,2022,,
higore de Dios,Nov,5.305348460291734,2022,,
Moquegua,Nov,8.2,2022,,
Pasco,Nov,2.6802876952217582,2022,,
Piura,Nov,1.026987951807229,2022,,
Puno,Nov,2.507920792079208,2022,,
San Martín,Nov,1.1699378881987579,2022,,
Tacna,Nov,0.0,2022,,
Tumbes,Nov,0.0,2022,,
Ucayali,Nov,1.5916101658777877,2022,,
Amazonas,Dic,2.5743208982252805,2022,,
Áncash,Dic,5.043288864688265,2022,,
Apurímac,Dic,0.0,2022,,
Arequipa,Dic,3.5,2022,,
Ayacucho,Dic,4.7132445036642245,2022,,
Cajamarca,Dic,3.0107213144265317,2022,,
Callao,Dic,0.0,2022,,
Cusco,Dic,1.3466346153846156,2022,,
Huancavelica,Dic,5.5,2022,,
Huánuco,Dic,3.0374322425215827,2022,,
Ica,Dic,0.0,2022,,
Junín,Dic,1.496768374394392,2022,,
La Libertad,Dic,3.7030241423125787,2022,,
Lambayeque,Dic,0.0,2022,,
Lima,Dic,3.997900536740607,2022,,
Lima Metropolitana,Dic,4.5,2022,,
Loreto,Dic,0.47090056285178233,2022,,
higore de Dios,Dic,5.443715846994536,2022,,
Moquegua,Dic,7.995551222970578,2022,,
Pasco,Dic,2.234267896319168,2022,,
Piura,Dic,1.5450877192982455,2022,,
Puno,Dic,2.616738197424893,2022,,
San Martín,Dic,1.3294464944649447,2022,,
Tacna,Dic,0.0,2022,,
Tumbes,Dic,0.0,2022,,
Ucayali,Dic,1.5665877528047876,2022,,
Amazonas,Ene,1.454353895590792,2021,,
Áncash,Ene,3.579432055190117,2021,,
Apurímac,Ene,3.3136573104315037,2021,,
Arequipa,Ene,4.925,2021,,
Ayacucho,Ene,6.242467202708422,2021,,
Cajamarca,Ene,2.6250132328845472,2021,,
Callao,Ene,0.0,2021,,
Cusco,Ene,1.6129395218002816,2021,,
Huancavelica,Ene,4.767333635129018,2021,,
Huánuco,Ene,1.9352364864864862,2021,,
Ica,Ene,0.0,2021,,
Junín,Ene,1.0362380262162845,2021,,
La Libertad,Ene,2.8682430088127133,2021,,
Lambayeque,Ene,4.174623115577889,2021,,
Lima,Ene,4.272052035249685,2021,,
Lima Metropolitana,Ene,2.7999999999999994,2021,,
Loreto,Ene,0.4755347593582887,2021,,
higore de Dios,Ene,0.0,2021,,
Moquegua,Ene,5.9553623057971175,2021,,
Pasco,Ene,3.174238431537894,2021,,
Piura,Ene,1.548148148148148,2021,,
Puno,Ene,2.4928917609046852,2021,,
San Martín,Ene,1.3754237288135593,2021,,
Tacna,Ene,0.0,2021,,
Tumbes,Ene,0.0,2021,,
Ucayali,Ene,0.7702146015780802,2021,,
Amazonas,Feb,1.7888554469390838,2021,,
Áncash,Feb,3.518535849841419,2021,,
Apurímac,Feb,2.9979349186483106,2021,,
Arequipa,Feb,4.189825859630577,2021,,
Ayacucho,Feb,6.741313771257086,2021,,
Cajamarca,Feb,2.36362537942416,2021,,
Callao,Feb,0.0,2021,,
Cusco,Feb,1.1,2021,,
Huancavelica,Feb,4.560867312574478,2021,,
Huánuco,Feb,2.0464007352941174,2021,,
Ica,Feb,7.144755970924195,2021,,
Junín,Feb,1.0556167193013957,2021,,
La Libertad,Feb,2.3923078002497777,2021,,
Lambayeque,Feb,4.600499999999999,2021,,
Lima,Feb,4.571462227108527,2021,,
Lima Metropolitana,Feb,2.746666666666667,2021,,
Loreto,Feb,0.4826649076517149,2021,,
higore de Dios,Feb,0.0,2021,,
Moquegua,Feb,5.853354939810527,2021,,
Pasco,Feb,1.1583547462796933,2021,,
Piura,Feb,3.19347181008902,2021,,
Puno,Feb,2.4232782369146006,2021,,
San Martín,Feb,1.0461224489795917,2021,,
Tacna,Feb,0.0,2021,,
Tumbes,Feb,0.0,2021,,
Ucayali,Feb,0.7558779653196972,2021,,
Amazonas,Mar,1.6835052520087161,2021,,
Áncash,Mar,3.3525342406001917,2021,,
Apurímac,Mar,2.8803495052261274,2021,,
Arequipa,Mar,4.274590301059296,2021,,
Ayacucho,Mar,6.615483947399598,2021,,
Cajamarca,Mar,2.2575136172795554,2021,,
Callao,Mar,0.0,2021,,
Cusco,Mar,4.98639455782313,2021,,
Huancavelica,Mar,4.625930343237881,2021,,
Huánuco,Mar,2.28504347826087,2021,,
Ica,Mar,6.374933608683585,2021,,
Junín,Mar,1.0523290054878864,2021,,
La Libertad,Mar,3.05676028705395,2021,,
Lambayeque,Mar,4.746835937499999,2021,,
Lima,Mar,4.278514901498568,2021,,
Lima Metropolitana,Mar,2.622752666328085,2021,,
Loreto,Mar,0.48662269129287594,2021,,
higore de Dios,Mar,0.0,2021,,
Moquegua,Mar,4.822707010671349,2021,,
Pasco,Mar,1.1196056275870465,2021,,
Piura,Mar,2.7158811475409834,2021,,
Puno,Mar,2.4505208333333335,2021,,
San Martín,Mar,1.1841071428571428,2021,,
Tacna,Mar,6.0,2021,,
Tumbes,Mar,0.0,2021,,
Ucayali,Mar,0.7576352998537301,2021,,
Amazonas,Abr,1.5712872738906143,2021,,
Áncash,Abr,3.463767653395037,2021,,
Apurímac,Abr,2.9528374726547413,2021,,
Arequipa,Abr,4.044478091725972,2021,,
Ayacucho,Abr,5.471307786717578,2021,,
Cajamarca,Abr,2.1580909943714826,2021,,
Callao,Abr,0.0,2021,,
Cusco,Abr,4.160550458715596,2021,,
Huancavelica,Abr,4.556736411254545,2021,,
Huánuco,Abr,2.4808985507246377,2021,,
Ica,Abr,6.053499438121686,2021,,
Junín,Abr,1.10910074286459,2021,,
La Libertad,Abr,3.5448930220256782,2021,,
Lambayeque,Abr,4.49069175188534,2021,,
Lima,Abr,3.616558865913738,2021,,
Lima Metropolitana,Abr,2.6119327073552423,2021,,
Loreto,Abr,0.4843445692883895,2021,,
higore de Dios,Abr,0.0,2021,,
Moquegua,Abr,4.6808117030965395,2021,,
Pasco,Abr,1.6976442428451115,2021,,
Piura,Abr,2.5929865125240847,2021,,
Puno,Abr,2.4155709342560554,2021,,
San Martín,Abr,1.506060606060606,2021,,
Tacna,Abr,0.0,2021,,
Tumbes,Abr,0.0,2021,,
Ucayali,Abr,0.7536063819391314,2021,,
Amazonas,May,1.7309966825328142,2021,,
Áncash,May,3.4243109540636043,2021,,
Apurímac,May,3.3288093255620317,2021,,
Arequipa,May,4.002127322720414,2021,,
Ayacucho,May,3.92365252293578,2021,,
Cajamarca,May,2.207410106899903,2021,,
Callao,May,0.0,2021,,
Cusco,May,1.5191802103250478,2021,,
Huancavelica,May,4.50072901168969,2021,,
Huánuco,May,2.8569402985074617,2021,,
Ica,May,5.43982180590903,2021,,
Junín,May,1.2407947869440357,2021,,
La Libertad,May,3.727090376080178,2021,,
